appid,name
638610,Professor Teaches Business Planning
638620,Fantasy Grounds - Orc Town: Orc Village (Map Pack)
638630,Puzzle Pirates - Eminent Explorer pack
638650,Sword Art Online Re: Hollow Fragment
638720,Final Battle
638740,The Seeker
638760,The Horus Heresy: Battle of Tallarn - Underworld Campaign
638780,Reflector: Bug Hunt
638790,Lux umbra - Season Pass
638800,The Trap 2: Mindlock (beta)
638810,LOGistICAL - USA - California
638830,VR Scape
638850,Animallica
638860,Bokida - Heartfelt Reunion Soundtrack
638890,VEGA Conflict - Punisher Pack
638891,VEGA Conflict - Dominion Pack
638900,Defenders of the Realm VR
638920,BeanVR
638930,Dal Segno
638950,Eternal Destiny - The Attribute Sanctuaries
638970,Yakuza 0
638980,Chess Ultra Academy game pack
638981,Chess Ultra Isle of Lewis chess set
638990,UNDYING
639000,Chess Ultra Easter Island chess set
639001,Chess Ultra Imperial chess set
639030,Unexplored Ripley Run
639050,Battle Islands: Commanders - Exclusive E3 Crate
638190,Adaptive Limiter
638200,Capitalism 2
638230,Journey
638240,Calavera: Day of the Dead Collector's Edition
638250,Sea of Lies: Nemesis Collector's Edition
638260,Myths of the World: Stolen Spring Collector's Edition
638270,Rite of Passage: Child of the Forest Collector's Edition
638280,Thimbleweed Park - Ransome Unbeeped
638290,Grim Facade: Sinister Obsession Collector’s Edition
638310,Family Tree Heritage™ Platinum 15 – Windows
638330,Aegis Defenders - Clu and Kobo Skins
638360,Half-Rats: Parasomnia
638370,Faulty Apprentice Demo
638380,Serious Sam 4 Editor
638390,Trail of the Damned
638460,White Noise 2 - Corey & Shaira
638470,Eggggg - The platform puker
638490,Soldat
638500,Soldat Dedicated Server
638530,Blender Character Modeling For Beginners HD: Surface Anatomy of Foot - Part 1
638531,Blender Character Modeling For Beginners HD: Surface Anatomy of Foot - Part 2
638532,Blender Character Modeling For Beginners HD: Surface Anatomy of Foot - Part 3
638533,Blender Character Modeling For Beginners HD: Surface Anatomy of Foot - Part 4
638534,Blender Character Modeling For Beginners HD: Surface Anatomy of Foot - Part 5
638550,"The End o,,,o - Soundtrack"
638570,Blender Character Modeling For Beginners HD: Surface Anatomy of Hand - Part 1
638571,Blender Character Modeling For Beginners HD: Surface Anatomy of Hand - Part 2
638572,Blender Character Modeling For Beginners HD: Surface Anatomy of Hand - Part 3
638573,Blender Character Modeling For Beginners HD: Surface Anatomy of Hand - Part 4
637833,Rocksmith® 2014 Edition – Remastered – Mumford & Sons - “I Will Wait”
637834,Rocksmith® 2014 Edition – Remastered – Mumford & Sons - “The Cave”
637835,Rocksmith® 2014 Edition – Remastered – 70s Mix Song Pack III
637836,Rocksmith® 2014 Edition – Remastered – Golden Earring - “Radar Love”
637837,Rocksmith® 2014 Edition – Remastered – Jethro Tull - “Aqualung”
637838,Rocksmith® 2014 Edition – Remastered – Grand Funk Railroad - “We’re An American Band”
637839,Rocksmith® 2014 Edition – Remastered – Lady Gaga Song Pack
637840,Rocksmith® 2014 Edition – Remastered – Lady Gaga - “Bad Romance”
637841,Rocksmith® 2014 Edition – Remastered – Lady Gaga - “Yoü and I”
637842,Rocksmith® 2014 Edition – Remastered – Lady Gaga - “Poker Face”
637843,Rocksmith® 2014 Edition – Remastered – Lady Gaga - “Paparazzi”
637844,Rocksmith® 2014 Edition – Remastered – Trivium Song Pack
